name,title,earning_group,category,sub_category
,COS-ONC_GI,MBO,ONC,Others
,COS-ONC_GI,Patient Retention,ONC,Others
,COS-Skin,Above Goal Empower,ONC,Others
,COS-Skin,Above Goal Follow On Points,ONC,Follow On Patients
,COS-Skin,Above Goal Initial Patients Points,ONC,Initial Patients
,COS-Skin,Access Milestone,ONC,Others
,COS-Skin,Bonus,ONC,Others
,COS-Skin,CHS Team Performance,ONC,Others
,COS-Skin,Commission Adjustment,ONC,Others
,COS-Skin,Follow On Points,ONC,Follow On Patients
,COS-Skin,Growth Commission,ONC,Others
,COS-Skin,Guarantee Extended,ONC,Others
,COS-Skin,Initial Patients Points,ONC,Initial Patients
,COS-Skin,MBO,ONC,Others
,COS-Skin,Patient Retention,ONC,Others
,COS_Lung,Above Goal Empower,ONC,Others
,COS_Lung,Above Goal Follow On Points,ONC,Follow On Patients
,COS_Lung,Above Goal Initial Patients Points,ONC,Initial Patients
,COS_Lung,Access Milestone,ONC,Others
,COS_Lung,Bonus,ONC,Others
,COS_Lung,CHS Team Performance,ONC,Others
,COS_Lung,Commission Adjustment,ONC,Others
,COS_Lung,Follow On Points,ONC,Follow On Patients
,COS_Lung,Growth Commission,ONC,Others
,COS_Lung,Guarantee Extended,ONC,Others
,COS_Lung,Initial Patients Points,ONC,Initial Patients
,COS_Lung,MBO,ONC,Others
,COS_Lung,Patient Retention,ONC,Others
,COS_ONC_Breast,Above Goal Empower,ONC,Others
,COS_ONC_Breast,Above Goal Follow On Points,ONC,Follow On Patients
,COS_ONC_Breast,Above Goal Initial Patients Points,ONC,Initial Patients
,COS_ONC_Breast,Access Milestone,ONC,Others
,COS_ONC_Breast,Bonus,ONC,Others
,COS_ONC_Breast,CHS Team Performance,ONC,Others
,COS_ONC_Breast,Commission Adjustment,ONC,Others
,COS_ONC_Breast,Follow On Points,ONC,Follow On Patients
